sentence,intent
when is the train leaving in garching,DepartureTime
when is the train leaving in garching?,DepartureTime
how can i get from garching to odeonsplatz?,FindConnection
when is adrians next subway leaving at garching forschungszentrum?,DepartureTime
how can i get from olympiazentrum to hauptbahnhof?,FindConnection
how can i get from quiddestraße to boltzmannstraße?,FindConnection
how can i get from moosach to garching forschungszentrum?,FindConnection
can you give me a connection from garching to odeonsplatz?,FindConnection
when is the next train from garching,DepartureTime
when comes the next train,DepartureTime
when is the next train in nordfriedhof,DepartureTime
when does the next train come at garching forschungszentrum,DepartureTime
when is the next train from nordfriedhof to garching forschungszentrum,FindConnection
i want to travel from garching to odeonsplatz?,FindConnection
how can i get to sendlinger tor?,FindConnection
how do i get to untere straussäcker?,FindConnection
how can i get from garching to garching?,FindConnection
how can i get from garching to sendlinger tor?,FindConnection
how can i get from garchingto garching?,FindConnection
when is the next train from garching,DepartureTime
how do i get from marienplatz zu garching,FindConnection
how can i get to milbertshofen from garching?,FindConnection
when is the next train to garching,FindConnection
how can i get from garching to milbertshofen?,FindConnection
when does the next rocket leaves from garching forschungszentrum?,DepartureTime
connection from untere straßäcker 21 to kieferngarten,FindConnection
how to get from untere strassäcker 21 to frötmaning,FindConnection
how to get from untere strassaecker 21 to frötmaning,FindConnection
when is the next train from untere straßaecker 21 to kieferngarten,FindConnection
"when is the next train from untere straßaecker 21, garching to kieferngarten",FindConnection
from garching to perlach,FindConnection
how to get from garching to perlach?,FindConnection
how to get from bonnerplatz to freimann,FindConnection
when is the next train in nordfriedhof?,DepartureTime
when is the next train in münchner freiheit?,DepartureTime
connection from hauptbahnhof to odeonsplatz?,FindConnection
how do i get from olympia einkaufszentrum to hauptbahnhof?,FindConnection
when is the next bus in garching forschungszentrum,DepartureTime
how can i get from garching to marienplatz,FindConnection
from garching to studentenstadt,FindConnection
